Fecha,Temp_Maxima_C,Temp_Minima_C
2024-07-03,32.8,25.0
2024-07-04,32.6,25.5
2024-07-05,32.0,25.8
2024-07-06,32.5,24.1
2024-07-07,28.8,24.9
2024-07-08,32.0,25.1
2024-07-09,32.3,24.4
2024-07-10,31.8,24.0
2024-07-11,32.2,25.3
2024-07-12,33.0,24.3
2024-07-13,32.7,24.9
2024-07-14,33.3,24.3
2024-07-15,30.0,24.2
2024-07-16,32.2,24.3
2024-07-17,32.1,24.7
2024-07-18,32.4,24.1
2024-07-19,33.8,25.0
2024-07-20,33.1,24.7
2024-07-21,32.3,24.7
2024-07-22,32.2,24.3
2024-07-23,32.5,25.5
2024-07-24,31.6,25.1
2024-07-25,32.7,25.7
2024-07-26,32.6,23.7
2024-07-27,33.0,23.5
2024-07-28,33.9,24.6
2024-07-29,33.7,24.3
2024-07-30,33.5,25.1
2024-07-31,32.3,25.3
2024-08-01,34.1,25.7
2024-08-02,33.3,26.1
2024-08-03,31.0,24.7
2024-08-04,29.0,24.4
2024-08-05,32.2,25.0
2024-08-06,33.6,24.2
2024-08-07,33.3,24.1
2024-08-08,32.1,24.7
2024-08-09,30.0,24.3
2024-08-10,32.7,24.7
2024-08-11,32.5,25.1
2024-08-12,32.8,25.4
2024-08-13,32.3,25.6
2024-08-14,33.2,25.1
2024-08-15,32.7,25.7
2024-08-16,32.7,25.0
2024-08-17,31.0,24.6
2024-08-18,33.2,24.7
2024-08-19,32.6,24.2
2024-08-20,31.7,24.3
2024-08-21,33.7,24.2
2024-08-22,33.9,25.5
2024-08-23,33.4,24.9
2024-08-24,32.6,24.9
2024-08-25,32.8,24.8
2024-08-26,31.7,25.5
2024-08-27,32.3,25.1
2024-08-28,30.1,23.8
2024-08-29,30.1,24.0
2024-08-30,30.3,23.5
2024-08-31,30.1,23.3
2024-09-01,29.0,23.2
2024-09-02,29.6,23.8
2024-09-03,31.6,23.4
2024-09-04,32.0,25.2
2024-09-05,31.3,24.8
2024-09-06,31.4,24.6
2024-09-07,32.3,24.7
2024-09-08,32.1,24.8
2024-09-09,32.2,25.3
2024-09-10,32.4,24.4
2024-09-11,32.4,24.5
2024-09-12,32.8,24.8
2024-09-13,33.0,25.1
2024-09-14,33.0,24.9
2024-09-15,32.7,24.9
2024-09-16,32.6,25.1
2024-09-17,32.2,24.3
2024-09-18,31.5,25.4
2024-09-19,30.6,24.5
2024-09-20,29.9,24.3
2024-09-21,30.8,23.9
2024-09-22,30.9,23.9
2024-09-23,31.4,24.0
2024-09-24,27.7,24.1
2024-09-25,25.5,24.2
2024-09-26,29.6,25.1
2024-09-27,29.7,23.6
2024-09-28,31.4,24.8
2024-09-29,31.7,24.6
2024-09-30,30.6,23.1
2024-10-01,30.5,23.2
2024-10-02,31.1,24.0
2024-10-03,29.2,24.2
2024-10-04,28.7,24.2
2024-10-05,29.3,23.3
2024-10-06,30.1,23.5
2024-10-07,30.7,23.7
2024-10-08,30.1,25.4
2024-10-09,30.3,23.9
2024-10-10,28.8,22.5
2024-10-11,31.2,22.3
2024-10-12,31.4,23.1
2024-10-13,31.4,23.8
2024-10-14,31.6,23.2
2024-10-15,31.4,23.0
2024-10-16,30.2,22.7
2024-10-17,26.5,23.7
2024-10-18,28.2,23.3
2024-10-19,30.1,24.8
2024-10-20,30.2,23.9
2024-10-21,29.1,22.4
2024-10-22,29.7,22.8
2024-10-23,29.6,23.4
2024-10-24,29.3,22.6
2024-10-25,29.9,22.4
2024-10-26,29.9,22.9
2024-10-27,28.8,22.5
2024-10-28,29.3,21.9
2024-10-29,29.3,24.0
2024-10-30,30.0,24.3
2024-10-31,29.6,23.6
2024-11-01,29.2,21.8
2024-11-02,30.5,23.4
2024-11-03,30.3,22.5
2024-11-04,30.5,23.1
2024-11-05,30.0,22.8
2024-11-06,29.7,24.2
2024-11-07,27.6,24.4
2024-11-08,28.3,23.5
2024-11-09,29.1,22.9
2024-11-10,29.0,22.4
2024-11-11,30.4,22.3
2024-11-12,31.0,22.5
2024-11-13,31.0,23.7
2024-11-14,29.4,22.9
2024-11-15,30.0,21.7
2024-11-16,29.4,21.7
2024-11-17,28.1,20.3
2024-11-18,28.1,21.7
2024-11-19,29.2,21.2
2024-11-20,28.7,22.4
2024-11-21,28.0,21.4
2024-11-22,25.3,19.1
2024-11-23,26.7,18.0
2024-11-24,27.0,16.5
2024-11-25,29.8,19.7
2024-11-26,29.9,21.1
2024-11-27,29.8,20.3
2024-11-28,30.1,18.7
2024-11-29,30.4,18.2
2024-11-30,31.1,20.2
2024-12-01,28.2,19.4
2024-12-02,25.5,18.6
2024-12-03,26.2,18.4
2024-12-04,26.2,17.2
2024-12-05,27.0,16.4
2024-12-06,29.1,16.9
2024-12-07,29.0,18.7
2024-12-08,27.9,18.4
2024-12-09,28.2,17.9
2024-12-10,29.0,20.7
2024-12-11,28.9,20.7
