Fecha,Diff_BoxCox_Max,Diff_BoxCox_Min
2024-01-02,4688.568566430535,2874.218334613517
2024-01-03,-44025.567280537245,7803.10812719836
2024-01-04,218361.15248600102,4430.807768546569
2024-01-05,-89905.94585412036,12735.547725104345
2024-01-06,164449.4948724531,78370.07264375797
2024-01-07,32427.886177102046,-13452.063924409435
2024-01-08,-106971.43519543478,-2124.5286353509146
2024-01-09,36135.961615064996,40846.73866529793
2024-01-10,-83092.83016177372,-47025.983482945405
2024-01-11,121500.41756504145,-1996.1247673504113
2024-01-12,0.0,63091.59352849475
2024-01-13,0.0,-43960.29814153256
2024-01-14,-15641.892471910978,-23030.170027421787
2024-01-15,39817.783870320185,5894.9994078100135
2024-01-16,-91669.32206072216,21755.83737740782
2024-01-17,-85079.27805698651,-23751.962144758232
2024-01-18,193350.62363844295,-27916.33469777576
2024-01-19,-24756.797380157863,29912.459465126172
2024-01-20,-131064.66351971403,-9671.635634905659
2024-01-21,-49405.94889172469,-23235.103118062354
2024-01-22,42949.077307411644,9297.749203156913
2024-01-23,-48772.015642507,34070.26549234017
2024-01-24,95728.88418921572,13657.401282142804
2024-01-25,58901.65654642176,2398.33148610621
2024-01-26,0.0,-34315.43746777788
2024-01-27,31663.0100108966,-7314.827596303367
2024-01-28,-8058.362063519191,5441.620718397506
2024-01-29,-312884.52861190925,-28921.018717046405
2024-01-30,-39733.68614105947,-29151.025342120614
2024-01-31,115196.09586878095,-7390.898369123559
2024-02-01,20516.131071677606,-1921.9578634409881
2024-02-02,-44624.47045318331,2591.5342423679685
2024-02-03,49929.81120280453,-2591.5342423679685
2024-02-04,136144.46092510957,33165.512365764735
2024-02-05,-186074.2721279141,-14765.942568890954
2024-02-06,-62851.002081554325,-5669.237209371233
2024-02-07,3775.514305911667,-4228.878103563955
2024-02-08,45398.735386524815,-13028.617444500785
2024-02-09,53067.07868379101,12233.915895744929
2024-02-10,21366.475886423315,12735.547725104345
2024-02-11,161899.9771814475,22248.641947510107
2024-02-12,7588.303074215248,38452.93210205999
2024-02-13,-163965.2608258974,-27696.32833303105
2024-02-14,65787.46361432376,-29790.493714618904
2024-02-15,33116.89188220556,-4245.983515070533
2024-02-16,28027.982086736418,19052.812427548473
2024-02-17,7226.422117747716,19996.685526074623
2024-02-18,-87254.175896868,33472.586837361276
2024-02-19,-94032.13920565002,-69368.12995287094
2024-02-20,-70506.33655557304,-21938.61155304923
2024-02-21,3947.0959741066326,-1837.6108911885385
2024-02-22,24930.141372850165,-7475.0422487044925
2024-02-23,77783.86053496238,5213.143232170078
2024-02-24,137905.13165842416,21872.66727239584
2024-02-25,-158985.45572760486,-20767.90156139241
2024-02-26,49068.56611615588,-5033.049530657081
2024-02-27,42396.9204584441,13567.87380210539
2024-02-28,104552.89239563653,16398.531478320445
2024-02-29,72549.41494798346,3338.7771354179567
2024-03-01,-72549.41494798346,37824.01678693549
2024-03-02,0.0,9367.707042826703
2024-03-03,107349.92007873673,-11152.245377096217
2024-03-04,27178.931035746937,21292.501170950636
2024-03-05,-78778.3445839138,-12074.244225457485
2024-03-06,0.0,12074.244225457485
2024-03-07,8350.028742041439,-8175.369584997883
2024-03-08,52204.911466390244,12457.400709879483
2024-03-09,0.0,44886.638016337994
2024-03-10,18223.404375482118,-28830.90524808898
2024-03-11,172642.48240800633,-22429.669927558134
2024-03-12,-190865.88678348844,-4087.3387832199514
2024-03-13,85374.52266895282,8303.773452998386
2024-03-14,10032.365439357818,6572.844558485449
2024-03-15,-49054.771061067935,-2224.51236964704
2024-03-16,144513.76973624574,-4348.332188838409
2024-03-17,-22033.731549573247,2157.502489530685
2024-03-18,-122480.0381866725,8966.847202019984
2024-03-19,29101.6202690145,14500.521925178167
2024-03-20,115412.14946723124,-37889.65604593417
2024-03-21,-85314.17266790243,5988.717172372708
2024-03-22,-114507.24077585083,26923.493784519684
2024-03-23,-122434.88712853665,-38622.8356155911
2024-03-24,-29085.843259045214,-27536.614890944024
2024-03-25,99921.316839415,-13944.48428011946
2024-03-26,97423.86751077417,61614.010748498215
2024-03-27,-9375.952053248999,39299.285603795084
2024-03-28,-45301.03371696302,-34883.94353484032
2024-03-29,-98497.38827113202,-43253.039342477234
2024-03-30,-22490.77375139977,-1536.0381341327738
2024-03-31,30171.501632956613,-5886.87057492046
2024-04-01,108624.7188574447,4376.8673433155855
2024-04-02,55943.404978070175,21750.82706182539
2024-04-03,-46884.042831383995,95423.0438737558
2024-04-04,-183548.84968018666,-89712.41921505709
2024-04-05,81506.66114796675,-28945.727776761065
2024-04-06,75174.7679176642,-24738.728026532524
2024-04-07,-17399.4218133823,-13990.609642781626
2024-04-08,-25347.45992717985,16073.070288763953
2024-04-09,-32427.886177102046,31954.01658370711
2024-04-10,188389.71449384437,65282.07646943946
2024-04-11,41262.932465958525,60907.86662047249
2024-04-12,-154477.8790421387,-68652.30847037362
2024-04-13,83451.71404429036,-41727.07382672702
2024-04-14,-65643.65557642083,-19015.609765170797
2024-04-15,36868.92730234249,-1562.3828088228038
2024-04-16,-36868.92730234249,8081.627967654931
2024-04-17,75453.7373162572,22322.499559504227
2024-04-18,-9810.081739836372,-7922.705603975774
2024-04-19,81629.71841334726,7922.705603975774
2024-04-20,21558.781244147103,2059.6325870541914
2024-04-21,10957.041132395505,-11885.76754021975
2024-04-22,218590.90245603374,1903.4293491897843
2024-04-23,-126549.67845860252,16356.275350339085
2024-04-24,-166278.7062481559,2190.829699307724
2024-04-25,0.0,-8564.766858616844
2024-04-26,0.0,-13758.97441812561
